Situation,emotion,empathetic_dialogues
I was going through old photos of my family and when I was younger.,nostalgic,"Customer :glad to hear you had such a carefree childhood. do you have siblings?
Agent :"
seeing photos of my hometown,nostalgic,"Customer :Whenever I see my friends on FB posting photos from my hometown I always start to miss it a little. 
Agent :"
seeing photos of my hometown,nostalgic,"Customer :I havent been back yet but maybe I will in the winter so I can experience the snow again. 
Agent :"
seeing photos of my hometown,nostalgic,"Customer :Awww. Do you ever go back and visit?
Agent :"
I was afraud ny son wasn't going to be able to talk because he didn't for so long. Now he won't shut up and I am so happy!,proud,"Customer :My son was prett slow to start speaking.
Agent :"
I was afraud ny son wasn't going to be able to talk because he didn't for so long. Now he won't shut up and I am so happy!,proud,"Customer :I took him to get evaluatd and we are waiting for a spot to open at school. I practiced at home with him non stop though and now he won't shut up. I'm so proud of him
Agent :"
I was afraud ny son wasn't going to be able to talk because he didn't for so long. Now he won't shut up and I am so happy!,proud,"Customer :/Did you get him a teacher?
Agent :"
I was afraud ny son wasn't going to be able to talk because he didn't for so long. Now he won't shut up and I am so happy!,proud,"Customer :I would be proud of him also.
Agent :"
I was apprehensive to get married.,apprehensive,"Customer :I was apprehensive to get married.
Agent :"
I was apprehensive to get married.,apprehensive,"Customer :No, but I am still worried.
Agent :"
I was apprehensive to get married.,apprehensive,"Customer :Do you regret it now that you are?
Agent :"
My kids are the best. They get excited about everything. I think I had some good ones.,grateful,"Customer :I think I have some pretty decent kids. May be too soon to tell though.
Agent :"
My kids are the best. They get excited about everything. I think I had some good ones.,grateful,"Customer :My oldest is 13. She is the worst. But my 2 and 3 year old are perfect lol
Agent :"
My kids are the best. They get excited about everything. I think I had some good ones.,grateful,"Customer :lol. she is upset about everything all of time. I couldnt have been that way lol
Agent :"
My kids are the best. They get excited about everything. I think I had some good ones.,grateful,"Customer :That's hilarious. Maybe II was terrible too then.
Agent :"
My kids are the best. They get excited about everything. I think I had some good ones.,grateful,"Customer :Oh, all kids are a little iffy, I think. Are you a teacher or do you mean your own children?
Agent :"
My kids are the best. They get excited about everything. I think I had some good ones.,grateful,"Customer :Teenagers are awful! I am really looking forward to my daughter becoming a teenager....not.
Agent :"
My kids are the best. They get excited about everything. I think I had some good ones.,grateful,"Customer :My mom put ""the curse"" on me. She said she hopes my daughter acted 10 times worse than I did. If that's the case, I need to start saving for boarding school, because I was awful!
Agent :"
My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,"Customer :My transmission went out in my car at the worst possible time. No way could I afford to get it replaced or rebuilt. My dad was able to loan me $500 to get the new transmission, and my step dad was able to put it in.
Agent :"
My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,"Customer :It's still a work in progress, but we tested the transmission before we put it in. It works wonderfully and came out of a car that only has 90,000 miles on it, versus mine that has 200,000. I would like to get a new car, but I don't want to take on another payment until my house is paid off.
Agent :"
My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,"Customer :Yes it is! Especially for two!
Agent :"
My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,"Customer :Of course she does! Lol that's hilarious, but I know how hard teenagers are so it's kind of almost serious too. 
Agent :"
My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,"Customer :So is it working now? I need atransmission for an old volvo. I'm saving for a new car instead.
Agent :"
My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,"Customer :Makes sense. I don't want any more bills until my kids are in school. Daycare is very expensive.
Agent :"
My transmission went out in my car. My dad loaned me $500 to get it fixed. ,grateful,"Customer :of course the 13 year old hates to babysit. I can't wait until she moves out. jk
Agent :"
Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,apprehensive,"Customer :Had HELLP syndrom with first child. Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.
Agent :"
Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,apprehensive,"Customer :It's basically when eclampsia has progressed to the point that your blood won't clot and your organs start shutting down.
Agent :"
Had HELLP syndrom with first child.  Spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,apprehensive,"Customer :What is HELLP? I'm sorry you and your baby had to go through that.
Agent :"
I am always alone in the summer.,lonely,"Customer :I am always alone in the summer.
Agent :"
I am always alone in the summer.,lonely,"Customer :My wife goes to Canada to visit her mom.
Agent :"
I am always alone in the summer.,lonely,"Customer :Why are you alone so much in the summer?
Agent :"
I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,nostalgic,"Customer :I was feeling really ambitious the other day and I decided to drive into the parking lot of my old elementary school just to see all the things I used to see years ago.
Agent :"
I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,nostalgic,"Customer :It was exactly the same! I was super surprised that no renovations were made, the same playground and buildings and everything.
Agent :"
I was driving past the elementary school that I went to years ago and I decided to go through the parking lot for a few minutes. I saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,nostalgic,"Customer :Was it as you remembered it?
Agent :"
